Deelvraag;;1.1;1.2;1.3;2.1;2.2;2.3;3.1;3.2;3.3;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;7.1;7.2;7.3
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;6;4;4;10;4;5;1;3;7;5;2;8;6;3;1;1;4;10;3;1;5
1000001;1A;1;2;4;7;2;2;0;2;4;0;0;1;3;3;0;1;2;4;2;1;3
1000002;1A;0;0;3;10;0;4;1;1;5;2;2;4;1;0;0;0;0;4;3;0;5
1000003;1A;2;3;2;10;3;0;1;3;4;4;0;4;1;1;1;1;3;8;1;0;4
1000004;1A;0;4;2;4;2;5;1;1;0;2;1;6;2;2;1;0;2;1;3;1;0
1000005;1A;2;1;0;9;1;4;1;3;5;5;1;4;1;0;1;0;3;4;0;1;5
1000006;1A;1;3;3;7;2;3;1;1;4;4;0;2;3;1;1;1;2;3;0;0;4
1000007;1A;0;0;0;9;4;2;1;0;4;3;1;8;4;3;0;0;4;10;2;0;1
1000008;1A;3;1;0;1;4;1;0;1;5;4;0;4;4;1;1;1;4;1;3;0;0
1000009;1A;3;0;3;1;0;1;0;2;3;1;2;8;0;0;0;1;1;6;3;0;5
1000010;1A;0;2;3;0;1;2;1;3;1;1;1;4;4;3;1;0;0;7;0;0;3
1000011;1A;3;1;1;0;1;0;0;1;7;4;1;8;0;0;1;1;0;3;0;0;2
1000012;1A;4;4;4;8;0;3;0;0;2;1;1;5;5;1;1;1;2;10;1;0;2
1000013;1A;2;0;2;3;1;5;1;0;2;4;1;0;2;0;1;1;4;7;2;0;1
1000014;1A;3;1;3;2;2;2;1;2;1;3;0;7;1;1;0;1;1;2;2;1;0
